B, decaycst, psfwidth, beta, F_th, S_th, S_th_G
0.005, 0.2, 2.0, 0.001, 6.14991395636, 7.01575610524, 0.0148355121793
0.005, 0.5, 2.0, 0.001, 4.75979621508, 6.92633442343, 0.0256072705682
0.005, 0.8, 2.0, 0.001, 4.04033502938, 6.69233776473, 0.0343559527653
0.005, 0.0, 2.0, 0.001, 7.4393472139, 7.77163737874, 0.0108450727347
0.005, 0.5, 2.0, 1e-05, 6.94477715155, 11.987340735, 0.0420220109706
0.005, 0.5, 2.0, 0.1, 1.4094579094, 1.05208934931, 0.00672764150288
0.05, 0.5, 2.0, 0.001, 11.8577700981, 7.8970882337, 0.0592154502129
0.1, 0.5, 2.0, 0.001, 16.0602755757, 8.18221453543, 0.0797212362176
0.005, 0.5, 3.0, 0.001, 6.48310108332, 7.35707929344, 0.0151033387756
0.005, 0.5, 4.0, 0.001, 7.48387036423, 6.91029189728, 0.0103197093292
