jobID 25846654
noise_avg 0.00497266666667
Fth 6.94477715155
Sth 11.987340735
Sth_G 0.0420220109706

Flux, Completeness, Completeness_Gauss
2.5, 0.50575, 0.23949
10.5, 1.0, 0.99964
23.5, 1.0, 1.0
13.0, 1.0, 0.99997
11.5, 1.0, 0.99992
12.0, 1.0, 0.99996
0.0, 4e-05, 2e-05
12.5, 1.0, 0.99995
1.5, 0.14663, 0.05291
19.5, 1.0, 1.0
0.5, 0.00397, 0.00133
21.0, 1.0, 1.0
20.5, 1.0, 1.0
5.5, 0.98759, 0.88699
19.0, 1.0, 1.0
4.5, 0.94504, 0.74335
21.5, 1.0, 1.0
5.0, 0.97337, 0.82513
22.0, 1.0, 1.0
18.5, 1.0, 1.0
20.0, 1.0, 1.0
4.0, 0.89612, 0.63738
9.0, 0.99999, 0.99774
6.0, 0.99465, 0.92801
8.5, 0.99998, 0.99547
2.0, 0.3181, 0.13077
13.5, 1.0, 0.99999
8.0, 0.99978, 0.99187
3.5, 0.81058, 0.51085
15.0, 1.0, 1.0
10.0, 1.0, 0.99934
7.0, 0.99901, 0.97379
7.5, 0.99966, 0.98515
17.5, 1.0, 1.0
9.5, 1.0, 0.99879
15.5, 1.0, 1.0
14.5, 1.0, 1.0
3.0, 0.68186, 0.37387
23.0, 1.0, 1.0
18.0, 1.0, 1.0
17.0, 1.0, 1.0
14.0, 1.0, 1.0
6.5, 0.99756, 0.95655
22.5, 1.0, 1.0
27.0, 1.0, 1.0
11.0, 1.0, 0.99989
24.0, 1.0, 1.0
16.5, 1.0, 1.0
16.0, 1.0, 1.0
25.0, 1.0, 1.0
24.5, 1.0, 1.0
25.5, 1.0, 1.0
28.0, 1.0, 1.0
26.0, 1.0, 1.0
29.0, 1.0, 1.0
29.5, 1.0, 1.0
27.5, 1.0, 1.0
30.0, 1.0, 1.0
28.5, 1.0, 1.0
26.5, 1.0, 1.0
1.0, 0.04149, 0.01378
