jobID 25846524
noise_avg 0.00504966666667
Fth 4.04033502938
Sth 6.69233776473
Sth_G 0.0343559527653

Flux, Completeness, Completeness_Gauss
1.0, 0.18675, 0.13596
6.5, 0.99912, 0.99259
9.5, 0.99999, 0.99978
0.5, 0.04554, 0.03663
20.5, 1.0, 1.0
3.5, 0.92229, 0.81793
2.0, 0.59231, 0.44796
0.0, 0.00111, 0.00104
3.0, 0.85665, 0.72364
5.5, 0.99583, 0.97566
2.5, 0.74944, 0.59678
15.5, 1.0, 1.0
5.0, 0.99092, 0.95858
11.5, 1.0, 1.0
18.5, 1.0, 1.0
12.0, 1.0, 1.0
17.5, 1.0, 1.0
17.0, 1.0, 1.0
1.5, 0.39042, 0.28274
16.0, 1.0, 1.0
15.0, 1.0, 1.0
6.0, 0.99838, 0.98722
14.5, 1.0, 1.0
4.5, 0.97995, 0.92923
12.5, 1.0, 1.0
16.5, 1.0, 1.0
27.5, 1.0, 1.0
30.0, 1.0, 1.0
4.0, 0.95991, 0.88391
11.0, 1.0, 0.99999
18.0, 1.0, 1.0
19.0, 1.0, 1.0
28.5, 1.0, 1.0
8.0, 0.99995, 0.99895
7.5, 0.99989, 0.99797
7.0, 0.99954, 0.99595
25.0, 1.0, 1.0
29.0, 1.0, 1.0
10.0, 1.0, 0.99995
27.0, 1.0, 1.0
26.5, 1.0, 1.0
26.0, 1.0, 1.0
28.0, 1.0, 1.0
13.0, 1.0, 1.0
21.0, 1.0, 1.0
24.5, 1.0, 1.0
22.0, 1.0, 1.0
25.5, 1.0, 1.0
29.5, 1.0, 1.0
22.5, 1.0, 1.0
24.0, 1.0, 1.0
21.5, 1.0, 1.0
23.5, 1.0, 1.0
14.0, 1.0, 1.0
23.0, 1.0, 1.0
9.0, 1.0, 0.99977
8.5, 1.0, 0.99944
10.5, 1.0, 0.99993
20.0, 1.0, 1.0
13.5, 1.0, 1.0
19.5, 1.0, 1.0
